FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
23021,120.52245949926362,822183339.0,6,41
40047,256.51166121112931,7560871851.0,12,151
CS185,600.0,638918921.0,1420,20487
06033,213.4139175257732,3346954066.0,25,106
CS314,791.0,17997360727.0,22544,437385
34041,282.02415812591511,10663571760.0,18,182
06063,189.28835800807536,1478731786.0,9,53
28015,123.29914529914529,173397862.0,3,17
22029,157.40889830508473,1071620122.0,5,49
C1894,661.25,513398187.0,1286,NA
28115,157.62005856515373,2678982665.0,6,131
C4610,704.25,1314877659.0,1970,35902
CS222,732.25,3280322339.0,5568,86148
02090,402.34356174698797,12583377397.0,15,197
18133,174.14260768335274,2286574526.0,7,87
20075,102.10388513513513,200218753.0,2,20
28093,153.69440298507462,1104345631.0,5,50
12031,552.10171102661593,178190705844.0,118,1796
C2470,737.5,503990553.0,647,13132
21007,138.30910165484633,591974780.0,3,27
48229,126.34840425531915,405311880.0,2,23
25025,810.08662731006166,425152572030.0,113,2656
38003,204.68245227606462,1105062563.0,5,45
31035,178.0052693208431,569878538.0,5,37
13009,169.5950704225352,2854180284.0,9,111
CS242,779.25,2397583318.0,3876,NA
19005,150.25447042640991,1000396756.0,5,45
CS365,592.25,7667622495.0,12267,248957
12077,141.03048780487805,298111149.0,3,28
48305,129.61827956989248,223094576.0,5,18
CS492,765.75,2776003395.0,6312,NA
12131,264.03562231759656,5224993268.0,17,143
48205,145.48108108108107,420339090.0,4,32
39119,248.50955284552845,7930440775.0,13,192
CS448,688.75,1863501094.0,3331,52016
C3546,602.75,236581100.0,483,7553
31059,149.82494279176203,430402451.0,6,29
40033,144.31891025641025,199209415.0,3,21
12079,132.84730769230768,678810010.0,5,36
C2438,674.25,269621505.0,421,7694
C4590,719.75,2229668999.0,4686,59560
25007,263.19116022099445,2498383488.0,11,64
38061,266.53927986906712,2963530935.0,9,73
13301,92.56525423728813,230667896.0,2,23
12095,584.2401331431289,257412512466.0,160,2855
C2414,231.40279007971657,8764869181.0,17,239
72059,94.122149837133549,182395363.0,3,30
04027,299.22879684418143,16007970104.0,18,313
CS474,816.0,6542645421.0,8387,154194
28033,294.73031496062993,11505698533.0,18,286
12113,301.18976323119779,8053133194.0,20,173
22039,163.29331210191083,1523182773.0,7,63
29041,126.22113289760348,284081859.0,5,22
20119,122.37073170731708,309662110.0,3,20
26091,223.09109816971713,6683635676.0,13,155
13281,129.13025594149909,436650553.0,5,30
55141,254.05526992287918,12620193937.0,14,251
